name,shortname,unit.price,unit.kg,price.kg,protein.100g,link
Tassal Smoked Salmon 250g ,"salmon, smoked",16.00,1.00,64.00,23.60,https://www.woolworths.com.au/shop/productdetails/847118/tassal-smoked-salmon
Salmon Tasmanian Atlantic Fillets Skin On Per Kg ,"salmon, fillets",38.00,1.00,38.00,,https://www.woolworths.com.au/shop/productdetails/95171/salmon-tasmanian-atlantic-fillets-skin-on
Woolworths Barramundi Thawed Fillets Per Kg ,"barramundi, fillets",19.00,1.00,19.00,,https://www.woolworths.com.au/shop/productdetails/71587/woolworths-barramundi-thawed-fillets
Woolworths Green Banana Prawns Large Thawed Per Kg ,"prawns, raw",18.00,1.00,20.00,,https://www.woolworths.com.au/shop/productdetails/96995/woolworths-green-banana-prawns-large-thawed
Bertocchi Shortcut Bacon Rashers From The Deli Per Kg ,"bacon, rashers raw",21.00,1.00,21.00,,https://www.woolworths.com.au/shop/productdetails/346624/bertocchi-shortcut-bacon-rashers-from-the-deli
D'orsogna Middle Bacon Per Kg ,"bacon, middle raw",12.00,1.00,12.00,,https://www.woolworths.com.au/shop/productdetails/71859/d-orsogna-middle-bacon
Woolworths Pork Leg Roast Boneless 1.2kg - 2.6kg ,"pork, leg roast raw",23.40,2.60,9.00,,https://www.woolworths.com.au/shop/productdetails/764527/woolworths-pork-leg-roast-boneless-boneless-small
Woolworths Lamb Cutlets 6 - 10 Pieces 500g - 900g ,"lamb, cutlets raw",38.70,0.90,43.00,18.60,https://www.woolworths.com.au/shop/productdetails/765046/woolworths-lamb-cutlets-6-10-pieces
Woolworths Lamb Forequarter Chops 4 - 6 Pieces 800g - 1.3kg ,"lamb, chops raw",14.30,1.30,11.00,17.40,https://www.woolworths.com.au/shop/productdetails/765062/woolworths-lamb-forequarter-chops-4-6-pieces
Woolworths Lean Beef Mince 1kg ,"mince, beef lean",15.50,1.00,15.50,18.50,https://www.woolworths.com.au/shop/productdetails/577862/woolworths-lean-beef-mince
Woolworths Beef Mince 1kg ,"mince, beef",11.00,1.00,11.00,15.90,https://www.woolworths.com.au/shop/productdetails/577864/woolworths-beef-mince
Woolworths Rspca Approved Chicken Breast Fillet 1.2kg - 1.65kg ,"chicken, breast",18.15,1.65,11.00,22.30,https://www.woolworths.com.au/shop/productdetails/969724/woolworths-rspca-approved-chicken-breast-fillet
Woolworths Rspca Approved Fresh Chicken Thigh Fillets Skinless Tray 1kg - 1.9kg ,"chicken, thigh",25.65,1.90,13.50,18.30,https://www.woolworths.com.au/shop/productdetails/721116/woolworths-rspca-approved-fresh-chicken-thigh-fillets-skinless-tray
Woolworths Chicken Thigh Fillet Per Kg ,,,,,,
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g ,,,,,,
Woolworths 12 Extra Large Free Range Eggs 700g ,"eggs, whole",5.60,0.70,8.00,12.20,https://www.woolworths.com.au/shop/productdetails/175905/woolworths-12-extra-large-free-range-eggs
Evergreen Firm Tofu 900g ,"tofu, firm",5.25,0.90,5.83,7.10,https://www.woolworths.com.au/shop/productdetails/595587/evergreen-firm-tofu
Macro Silken Tofu 300g ,"tofu, silken",2.30,0.30,7.67,4.70,https://www.woolworths.com.au/shop/productdetails/695083/macro-silken-tofu
Woolworths Light Tasty Shredded Cheese 500g ,"cheese, light tasty shredded",7.70,0.50,15.40,29.70,https://www.woolworths.com.au/shop/productdetails/729008/woolworths-light-tasty-shredded-cheese
Woolworths Tasty Shredded Cheese 500g ,"cheese, tasty shredded",7.70,0.50,15.40,25.50,https://www.woolworths.com.au/shop/productdetails/729026/woolworths-tasty-shredded-cheese
Woolworths Mozzarella Shredded Cheese 500g ,"cheese, mozarella shredded",7.70,0.50,15.40,25.90,https://www.woolworths.com.au/shop/productdetails/728983/woolworths-mozzarella-shredded-cheese
Macro Organic Oat Milk Unsweetened 1l ,"milk, oat long-life 1L",2.25,1.00,2.25,1.50,https://www.woolworths.com.au/shop/productdetails/150166/macro-organic-oat-milk-unsweetened
Woolworths Unsweetened Almond Milk 1l ,"milk, almond long-life 1L",2.00,1.00,2.00,0.70,https://www.woolworths.com.au/shop/productdetails/779134/woolworths-unsweetened-almond-milk
Woolworths Soy Milk 1l ,"milk, soy long-life 1L",1.15,1.00,1.15,3.20,https://www.woolworths.com.au/shop/productdetails/779130/woolworths-soy-milk
Woolworths Lite Milk 3l ,"milk, lite 3L",4.50,3.00,1.50,3.40,https://www.woolworths.com.au/shop/productdetails/807386/woolworths-lite-milk-lite-milk
Woolworths Skim Milk 1l ,"milk, skim 1L",1.60,1.00,1.60,3.60,https://www.woolworths.com.au/shop/productdetails/888136/woolworths-skim-milk
Woolworths Full Cream Milk 1l ,"milk, fullcream 1L",1.60,1.00,1.60,3.30,https://www.woolworths.com.au/shop/productdetails/888113/woolworths-full-cream-milk
Woolworths Whole Milk 3l ,"milk, fullcream 3L",4.50,3.00,1.50,3.30,https://www.woolworths.com.au/shop/productdetails/807384/woolworths-whole-milk-full-cream-milk
Woolworths Tuna In Springwater 95g ,"tuna, canned",1.10,0.10,11.58,26.90,https://www.woolworths.com.au/shop/productdetails/476700/woolworths-tuna-in-springwater
Macro Organic Brown Flaxseed Meal 500g, "flaxseed, ground",5.00,0.50,10.00,,https://www.woolworths.com.au/shop/productdetails/698018/macro-organic-brown-flaxseed-meal
Macro Chia Seed Black & White 150g, "chia seeds",6.00,0.15,40.00,23.80,https://www.woolworths.com.au/shop/productdetails/965281/macro-chia-seed-black-white
Woolworths Red Kidney Beans No Added Salt 420g ,"kidney beans, canned drained",1.00,0.23,4.44,7.80,https://www.woolworths.com.au/shop/productdetails/259401/woolworths-red-kidney-beans-no-added-salt
Macro Organic Quinoa Tri Colour 500g, "quinoa",6.59,500,13.18,14.20,https://www.woolworths.com.au/shop/productdetails/717631/macro-organic-quinoa-tri-colour
Mckenzie's Dried Green Split Peas 500g,"split peas, cooked",1.60,0.500,3.20,22.30,https://www.woolworths.com.au/shop/productdetails/73928/mckenzie-s-dried-green-split-peas
Woolworths Chickpeas No Added Salt 420g ,"chickpeas, canned drained",1.00,0.25,3.97,4.50,https://www.woolworths.com.au/shop/productdetails/259399/woolworths-chickpeas-no-added-salt
Woolworths Lentils No Added Salt 420g ,"lentils, canned drained",1.00,0.23,4.44,5.80,https://www.woolworths.com.au/shop/productdetails/259400/woolworths-lentils-no-added-salt
Woolworths Walnuts Californian 450g ,walnuts,9.00,0.45,20.00,14.40,https://www.woolworths.com.au/shop/productdetails/726360/woolworths-walnuts-californian
Woolworths Pistachios 80g ,pistachios,5.00,0.08,62.50,19.70,https://www.woolworths.com.au/shop/productdetails/726357/woolworths-pistachios
Woolworths Almonds Kernels 750g Pack ,"almonds, raw",9.90,0.75,13.20,19.70,https://www.woolworths.com.au/shop/productdetails/176411/woolworths-almonds-kernels
Woolworths Peanuts Roasted & Salted 750g Pack ,"peanuts, roasted salted",5.00,0.75,6.67,28.30,https://www.woolworths.com.au/shop/productdetails/185221/woolworths-peanuts-roasted-salted
Woolworths Country Loaf Wholegrain 850g,"bread, wholegrain",3.90,0.85,4.59,8.30,https://www.woolworths.com.au/shop/productdetails/435099/woolworths-country-loaf-wholegrain
Woolworths Brown Rice Grain 1kg,"rice, brown",2.50,1.00,2.50,7.90,https://www.woolworths.com.au/shop/productdetails/777630/woolworths-brown-rice-grain
